celltype,log10_corset_size,coreset_size,coreset_time,full_time,time_saving,dataset,n_samples,n_dimensions,n_archetypes,log10_n_samples,time_fraction
AS,-0.9761945436150224,0.1056344210414894,1.2156246079072248,6.343154001235962,5.2,ms,13987,10,5,4.145724574880668,0.1916435589724545
EC,-0.8367381802414477,0.1456336786492988,0.2011512572427851,0.5909756064414978,2.9,ms,2230,10,4,3.3483048630481607,0.34037150611680544
MG,-0.8134954530125187,0.1536400879096634,1.0728394392682747,3.73675776720047,3.5,ms,9239,10,6,3.965624967109243,0.2871043578701201
NEU,-1.1388936342175262,0.0726283814373477,0.6997350239900488,4.099313056468963,5.9,ms,8171,10,6,3.9122752104988123,0.17069567860542506
OL,-1.0691654525307388,0.0852775171620804,3.996389256056189,28.785355162620544,7.2,ms,64834,10,5,4.811802816672131,0.1388341131620197
OPC,-0.8599809074703768,0.1380444950630182,0.3464459583488196,1.2951659083366394,3.7,ms,3945,10,4,3.596047007545439,0.26749156700221866
B,-1.4642918154225335,0.0343327178601354,1.963101411366852,33.57005709409714,17.1,lupus,112076,10,4,5.049512622554955,0.05847775015288961
NK,-1.4875345426514626,0.0325435898145272,0.999560670288208,24.487091970443725,24.5,lupus,63298,6,4,4.801389988015998,0.04081990101130393
T4,-1.6734763604828955,0.0212091683569272,3.550065706748142,84.79445513486863,23.9,lupus,249824,10,4,5.397634157684593,0.04186671995358228
T8,-1.4642918154225335,0.0343327178601354,4.243281783793605,102.5646108150482,24.2,lupus,183430,10,4,5.263470366061185,0.04137179237627482
cDC,-0.7437672713257313,0.1803984196564018,0.7470583627583107,4.643274629116059,6.2,lupus,13516,10,5,4.1308481831028585,0.16089041084794253
cM,-1.092408179759668,0.0808335812570916,7.579821057686809,104.66069791316986,13.8,lupus,219307,10,5,5.341052494025244,0.07242280253066238
ncM,-0.9761945436150224,0.1056344210414894,1.2229619213353078,8.681859660148621,7.1,lupus,35565,10,4,4.551022813033869,0.14086405093011747
pDC,-0.5810681807232276,0.2623806594622022,0.5238863753534546,0.9644514799118042,1.8,lupus,4011,10,4,3.6032526619816467,0.5431961962475937
Astrocyte,-1.6269909060250374,0.0236052766128891,1.8096289592880652,52.14120600223541,28.8,ms_xenium,150751,10,4,5.1782602016947195,0.034706311917880886
Endothelial,-1.2783499975911008,0.0526805138445332,0.2433639149842665,3.052782249450684,12.5,ms_xenium,21323,10,3,4.328848306911196,0.07971872708184714
Myeloid,-1.2086218159043134,0.06185548038627,3.239283053322834,64.86078931093216,20.0,ms_xenium,147478,10,5,5.168727239356825,0.04994208500600006
OPC,-0.9994372708439516,0.1001296571589204,0.5832445452765284,4.604217851161957,7.9,ms_xenium,21451,10,5,4.331447542877797,0.12667614003740854
Oligo,-1.603748178796108,0.0249030087516344,1.5240964523263831,49.157199358940126,32.3,ms_xenium,153038,10,4,5.184799281413912,0.031004542004063513
Schwann,-1.0459227253018095,0.0899657644784966,0.4905361945851205,6.613602101802826,13.5,ms_xenium,25065,10,4,4.399067708949072,0.0741708054150103
T_cell,-1.2551072703621715,0.0555766966354749,0.1555064355925298,2.371433520317077,15.2,ms_xenium,13562,10,3,4.132323740040991,0.06557486611378316
