component,variance_unshuffled,variance_shuffled_mean,variance_shuffled_std,variance_shuffled_mean+std,variance_shuffled_mean-std,included
0,4.9759774,0.92586166,9.331596e-05,0.925955,0.9257683,True
1,2.3997118,0.72358465,0.00022207438,0.72380674,0.72336257,True
2,1.6027712,0.69049966,0.0002888657,0.6907885,0.6902108,True
3,1.329095,0.67429054,0.00031469364,0.67460525,0.6739758,True
4,1.2033064,0.65531003,0.00062238536,0.6559324,0.65468764,True
5,0.9963133,0.64172083,0.00084475183,0.6425656,0.64087605,True
6,0.8893346,0.6375596,0.0007477928,0.6383074,0.6368118,True
7,0.86138105,0.6270164,0.0004082694,0.6274247,0.62660813,True
8,0.7849366,0.5828623,0.00038509732,0.5832474,0.5824772,True
9,0.7174946,0.5701357,0.00076639984,0.5709021,0.5693693,True
10,0.6860736,0.56742257,0.00069553155,0.5681181,0.56672704,True
11,0.6465493,0.5508884,0.00039211175,0.55128056,0.5504963,True
12,0.60439014,0.5419746,0.0004757927,0.54245037,0.54149884,True
13,0.57263315,0.534836,0.00042818056,0.5352642,0.5344078,True
14,0.55741173,0.5208606,0.0002878055,0.52114844,0.5205728,True
15,0.52338725,0.49960315,0.0002640806,0.49986723,0.49933907,True
16,0.4897164,0.4859678,0.00078452757,0.4867523,0.48518327,True
17,0.4807108,0.4836621,0.0007026286,0.48436472,0.48295948,False
18,0.4624503,0.48014408,0.00052846584,0.48067254,0.47961563,False
19,0.45913824,0.47419906,0.0006540693,0.47485313,0.47354499,False
20,0.44562146,0.46800682,0.00045436766,0.4684612,0.46755245,False
21,0.44098002,0.4634063,0.0006205261,0.4640268,0.46278578,False
22,0.42669988,0.45973665,0.00048225527,0.4602189,0.45925438,False
23,0.41847637,0.45177394,0.0004066668,0.4521806,0.4513673,False
24,0.40993354,0.44038063,0.00042213706,0.44080278,0.43995848,False
25,0.40743697,0.43128583,0.0005630016,0.43184882,0.43072283,False
26,0.39865708,0.42358825,0.00043706756,0.42402533,0.42315117,False
27,0.39411995,0.41140983,0.0006323973,0.41204223,0.41077742,False
28,0.38428238,0.40235522,0.0006572858,0.4030125,0.40169793,False
29,0.38076898,0.39836654,0.0007640284,0.39913058,0.3976025,False
30,0.3723419,0.38779828,0.0009939509,0.38879222,0.38680434,False
31,0.3648311,0.38326234,0.0009683997,0.38423073,0.38229394,False
32,0.36251786,0.37938067,0.0009380476,0.38031873,0.37844262,False
33,0.35527962,0.37627342,0.00067300873,0.37694642,0.37560043,False
34,0.34884894,0.37453616,0.00075440784,0.37529057,0.37378174,False
35,0.34391874,0.37179905,0.0011016019,0.37290066,0.37069744,False
36,0.3415314,0.36841887,0.0011013537,0.36952022,0.36731753,False
37,0.33750722,0.36557484,0.0009631159,0.36653796,0.36461172,False
38,0.3322273,0.36356762,0.0010437034,0.36461133,0.3625239,False
39,0.32623312,0.36119452,0.0011172891,0.3623118,0.36007723,False
40,0.3217894,0.35912183,0.0010272777,0.36014912,0.35809454,False
41,0.31851715,0.35617992,0.0014286041,0.35760853,0.35475132,False
42,0.31482157,0.35131115,0.001917006,0.35322815,0.34939414,False
43,0.30809867,0.3451513,0.0014415097,0.3465928,0.3437098,False
44,0.3031208,0.34182,0.0016673345,0.34348732,0.34015268,False
45,0.297576,0.33789843,0.0016629911,0.33956143,0.33623543,False
46,0.2950199,0.33438358,0.0022929327,0.3366765,0.33209065,False
47,0.29038924,0.3298059,0.002898501,0.33270442,0.3269074,False
48,0.2891453,0.32472256,0.0016010116,0.32632357,0.32312155,False
49,0.28764716,0.3205494,0.0017457444,0.32229513,0.31880367,False
