archetype,gene,log1p,raw,z_scaled
0,ADAMTSL3,0.6772264,1.6611755,0.21030653
0,COL12A1,0.3797545,0.8581558,-0.01747669
0,COL15A1,0.76901335,1.9396516,0.3095547
0,COL1A1,0.13139988,0.26519567,-0.043526933
0,COL4A1,0.66406834,1.7672579,0.1249628
0,COL4A4,0.561432,1.5163629,0.057275444
0,COLEC12,0.4256154,0.9379655,0.22623917
0,FKBP5,0.47016862,1.3843492,-0.08080808
0,FN1,0.60738045,1.915066,0.02201603
0,FOXO1,0.5008978,1.2517204,-0.0020805486
0,LAMB1,0.9050376,2.3726957,0.22515234
0,LAMC1,0.83125305,2.2571218,0.17025553
0,LOXL1,0.1041453,0.19884273,-0.0026355677
0,POSTN,0.12238272,0.4072137,-0.1973913
0,PPARG,0.024839172,0.080534,-0.09803445
0,SMAD3,0.26424512,0.56086475,-0.07598165
0,SMOC2,0.85067636,2.6294453,0.32671437
0,TGFBR2,0.35593063,0.7838029,-0.020575123
0,TGFBR3,0.37686053,0.93742216,-0.084594406
0,TNC,0.059022106,0.1808334,-0.026211848
0,VCAN,0.3387163,0.75123835,-0.111756966
1,ADAMTSL3,0.49673906,1.1901345,-0.08413777
1,COL12A1,0.28247002,0.6543924,-0.19439353
1,COL15A1,0.48398662,1.1591734,-0.1398753
1,COL1A1,0.10717276,0.21873176,-0.11814342
1,COL4A1,0.59680694,1.7639722,0.016403688
1,COL4A4,0.6319283,1.9021692,0.17048569
1,COLEC12,0.24686028,0.52636105,-0.13855453
1,FKBP5,0.6969994,2.3073401,0.26126945
1,FN1,0.42968696,1.3466188,-0.23478337
1,FOXO1,0.5818657,1.6099298,0.13893674
1,LAMB1,0.6640533,1.7390143,-0.14228906
1,LAMC1,0.7240361,2.0364056,0.003330203
1,LOXL1,0.07239837,0.13683143,-0.1174568
1,POSTN,0.052144982,0.15782642,-0.3113566
1,PPARG,0.07803747,0.21161221,0.18393181
1,SMAD3,0.37681982,0.9304328,0.17428027
1,SMOC2,0.34915426,0.8813691,-0.34995592
1,TGFBR2,0.4483505,1.1290389,0.1676012
1,TGFBR3,0.56023383,1.6808398,0.2366213
1,TNC,0.034471124,0.14337227,-0.10681036
1,VCAN,0.40254954,1.0793858,0.0042733494
2,ADAMTSL3,0.45919365,1.0013468,-0.14538227
2,COL12A1,0.54979396,1.3497434,0.2917686
2,COL15A1,0.45110402,1.0099561,-0.19172755
2,COL1A1,0.2164213,0.48045018,0.21835358
2,COL4A1,0.47598967,1.1517931,-0.17859949
2,COL4A4,0.33382425,0.7856826,-0.30819052
2,COLEC12,0.2708128,0.54506415,-0.089674294
2,FKBP5,0.3499449,0.9213313,-0.26209408
2,FN1,0.7987599,3.1409936,0.29861844
2,FOXO1,0.39277488,0.8902606,-0.19036283
2,LAMB1,0.7028535,1.6826357,-0.08313252
2,LAMC1,0.58258474,1.371482,-0.21691899
2,LOXL1,0.15088154,0.29038793,0.16641204
2,POSTN,0.6622038,3.1393259,0.6785464
2,PPARG,0.018006112,0.066346616,-0.13430469
2,SMAD3,0.23215848,0.45194212,-0.14730033
2,SMOC2,0.6668024,1.8701717,0.07863882
2,TGFBR2,0.26431003,0.5166978,-0.20711139
2,TGFBR3,0.2977606,0.66438854,-0.22314115
2,TNC,0.12179436,0.51733065,0.1774035
2,VCAN,0.47360206,1.1545067,0.13341632
